"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G6QPJEVK","bookSection","","Sartori, Giovanni","Teoría de la democracia","Teoría de la democracia","","","","","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","Alianza Editorial","Madrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1987","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J4BY6SMB","book","1987","Sartori, Giovanni","Teoría de la democracia","","","","","","","1987","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","Alianza editorial","Madrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHZ29Q3T","book","1986","Bobbio, Norberto","El futuro de la democracia","","","","","","","1986","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","Fondo de Cultura Económica","Madrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVPGQWTB","book","1999","Dahl, Robert A.","la democracia: una guía para los ciudadanos","","","","","","","1999","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","Taurus","Madrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYWW9TIG","journalArticle","2004","Norris, Pippa","Electoral Engineering: Voting Rules and political Behaivor","Cambridge University Press","","","","","","2004","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","Inglés","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYX9SB7S","report","2002","Council of Europe / Venice Commission","Code of Good Practice in Electoral Matters","","","","","https://www.venice.coe.int/webforms/documents/default.aspx?pdffile=CDL-AD(2002)023rev-e","","2002","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","Inglés","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA2E4DJT","report","2020","Venice Commission","Code of Good Practice on Referendums","","","","","https://www.venice.coe.int/webforms/documents/?pdf=CDL-AD(2020)031-e","","2020","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FMCFCAU","document","2016","European Union","EU Election Observation Handbook","","","","","https://www.eeas.europa.eu/eu-election-observation-missions_en","","2016","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMNQ7SHH","webpage","2024","Adida, Ben et al.","Helios Voting System","","","","","https://vote.heliosvoting.org/","Sistema de voto verificable E2E","2024","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RZ78Q5Q","journalArticle","2008","Adida, Ben et al.","Helios: Web-based Open-Audit Voting","USENIX Security Symposium","","","","","","2008","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKTD7Q5T","standard","2019","ITU-T","X.509 Public Key Infrastructure","","","","","","","2019","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQRG6WRS","webpage","","FNMT-RCM","Certificados electrónicos","","","","","https://www.sede.fnmt.gob.es/certificados","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCWNVW8W","webpage","","Python Software Foundation","Python Documentation","","","","","https://www.python.org/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HULGG7FY","webpage","","Django Software Foundation","Django Documentation","","","","","https://docs.djangoproject.com/en/6.0/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ5BMTM3","webpage","","PostgreSQL Global Development Group","PostgreSQL Documentation","","","","","https://www.postgresql.org/docs/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J8E4A35J","webpage","","Python Cryptography Authority","cryptography library","","","","","https://pypi.org/project/cryptography/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8465RFJ6","webpage","","OpenPyXL Developers","openpyxl Documentation","","","","","https://openpyxl.readthedocs.io/en/stable/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LZCUGGQ","webpage","","PlantUML Team","PlantUML","","","","","https://plantuml.com/es/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6MW4QFU","webpage","","Graphviz Team","Graphviz","","","","","https://graphviz.org/","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7B4BDQD","computerProgram","2023","OpenAI","ChatGPT","","","","","https://chatgpt.com/","","2023","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","Programmers: _:n71","<div data-schema-version=""8""><p>Herramienta de apoyo a la redacción y estructuración del documento</p> <p></p> </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCIYDSPA","book","","Aristoteles","Política","","","","","","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHZD8RYD","book","","Ciceron, Marco Tulio","De re publica","","","","","","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9TDNBJC","book","","Locke, John","Segundo tratado sobre el gobierno civil","","","","","","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDBKVFPL","book","","Rousseau, Jean-Jacques","El contrato social","","","","","","","","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELF8TWDS","report","1948","United Nations","Universal Declaration of Human Rights","","","","","https://www.un.org/en/about-us/universal-declaration-of-human-rights","","1948","2026-01-27 09:27:45","2026-01-27 09:27:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
